,,,
Theme: Economy & Prices,,,
Subject: Prices and Price Indices,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,
"Table Title: Consumer Price Index (CPI), 2019 As Base Year, Monthly",,,
,,,
Data last updated: 25/09/2023,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,
,,,
Data Series,All Items (Index),All Items -> Housing & Utilities (Index),All Items -> Housing & Utilities -> Accommodation (Index)
  2023 Aug,114.3,112.2,112.4
  2023 Jul,113.3,110.2,110.1
  2023 Jun,113.6,111.2,111.3
  2023 May,113,110.9,111
  2023 Apr,112.7,108.1,107.9
  2023 Mar,112.6,110.5,110.3
  2023 Feb,112,110,109.9
  2023 Jan,111.4,108.5,108.1
  2022 Dec,111.2,109.3,109
  2022 Nov,111,109,108.8
  2022 Oct,109.9,107.2,106.7
  2022 Sep,110.3,108.5,108.1
  2022 Aug,109.9,108.1,107.6
  2022 Jul,108.8,106.1,105.3
  2022 Jun,108.7,106.6,106.5
  2022 May,107.6,106.2,106
  2022 Apr,106.5,103.4,102.9
  2022 Mar,106.7,105,105.2
  2022 Feb,105.4,104.6,104.8
  2022 Jan,104.5,103,103
  2021 Dec,104.4,103.6,104.1
  2021 Nov,104,103.2,103.7
  2021 Oct,103,101.2,101.7
  2021 Sep,102.7,102.2,103
  2021 Aug,102.2,102,102.8
  2021 Jul,101.7,100.2,100.7
  2021 Jun,101.9,101.3,102.2
  2021 May,101.9,101.1,102
  2021 Apr,101.1,98.5,99
  2021 Mar,101.2,100.5,101.6
  2021 Feb,101,100.4,101.5
  2021 Jan,100.4,99,99.8
  2020 Dec,100.5,100.2,101.1
  2020 Nov,100.1,100.1,101
  2020 Oct,99.7,98.5,99.2
  2020 Sep,100.1,99.9,101.1
  2020 Aug,99.8,99.8,101.1
  2020 Jul,99.2,98.3,99.3
  2020 Jun,99.5,100.5,101.1
  2020 May,99.5,100.5,101.1
  2020 Apr,99,98.1,98.3
  2020 Mar,99.9,100.7,101
  2020 Feb,100.3,100.7,101
  2020 Jan,100.2,99.2,99.3
  2019 Dec,100.4,100.5,100.8
  2019 Nov,100.3,100.4,100.8
  2019 Oct,99.9,98.8,99
  2019 Sep,100.1,100.6,100.7
  2019 Aug,100.2,100.6,100.7
  2019 Jul,99.6,99,98.9
  2019 Jun,100,100.3,100.6
  2019 May,100.3,100.4,100.6
  2019 Apr,99.8,98,97.8
  2019 Mar,100,100.8,100.6
  2019 Feb,100,100.9,100.6
  2019 Jan,99.4,99.6,99.1
  2018 Dec,99.7,101.6,100.9
  2018 Nov,99.6,101.8,101.1
  2018 Oct,99.4,100.1,99
  2018 Sep,99.8,101.9,101.3
  2018 Aug,99.8,102,101.4
  2018 Jul,99.4,100.3,99.5
  2018 Jun,99.5,101.2,101.8
  2018 May,99.4,101.2,101.7
  2018 Apr,98.8,98.7,98.9
  2018 Mar,99.3,101.4,102.2
  2018 Feb,99.5,101.6,102.5
  2018 Jan,99,100.3,101
  2017 Dec,99.2,101.5,102.9
  2017 Nov,99.3,101.7,103.2
  2017 Oct,98.8,100.3,101.6
  2017 Sep,99,102.4,103.9
  2017 Aug,99.1,102.7,104.2
  2017 Jul,98.7,101.3,102.6
  2017 Jun,99,103.1,105
  2017 May,99.1,103.2,105.1
  2017 Apr,98.8,101,102.6
  2017 Mar,99.1,103.4,105.9
  2017 Feb,99,103.8,106.3
  2017 Jan,99,104,106.6
  2016 Dec,98.9,103.9,107
  2016 Nov,98.7,104.2,107.4
  2016 Oct,98.4,103,106.1
  2016 Sep,98.7,104.8,108.1
  2016 Aug,98.7,105.1,108.4
  2016 Jul,98.2,103.8,107
  2016 Jun,98.4,105.2,109.2
  2016 May,97.7,103,106.7
  2016 Apr,98.4,105.9,110
  2016 Mar,98.4,106.8,110.3
  2016 Feb,98.4,107.1,110.7
  2016 Jan,98.5,107.4,111
  2015 Dec,98.7,107.9,111.2
  2015 Nov,98.7,108.2,111.6
  2015 Oct,98.5,107.1,110.2
  2015 Sep,98.9,109.5,112.2
  2015 Aug,98.9,109.8,112.5
  2015 Jul,98.8,108.5,111
  2015 Jun,99.2,109.8,113.2
  2015 May,99.3,110.1,113.5
  2015 Apr,98.8,107.9,110.9
  2015 Mar,99.4,111.5,114
  2015 Feb,99.2,111.7,114.3
  2015 Jan,99.1,111.9,114.5
  2014 Dec,99.3,112.7,114.7
  2014 Nov,99.4,113,115
  2014 Oct,99.3,111.9,113.6
  2014 Sep,99.6,113.6,115.5
  2014 Aug,99.7,113.9,115.8
  2014 Jul,99.2,112.5,114.2
  2014 Jun,99.5,114.2,116.2
  2014 May,99.7,114.4,116.4
  2014 Apr,99.3,112.1,113.7
  2014 Mar,99.7,114.5,116.6
  2014 Feb,99.5,114.6,116.7
  2014 Jan,99.5,114.7,116.8
  2013 Dec,99.4,114.8,116.6
  2013 Nov,99.7,114.7,116.7
  2013 Oct,99,113,114.7
  2013 Sep,98.9,114.5,116.5
  2013 Aug,98.7,114.2,116.2
  2013 Jul,97.9,112.3,113.9
  2013 Jun,97.7,114.1,115.7
  2013 May,97.5,113.9,115.4
  2013 Apr,97.1,110.9,111.9
  2013 Mar,98.6,113.1,114.6
  2013 Feb,99.1,112.8,114.3
  2013 Jan,98.1,112.4,113.9
  2012 Dec,97.9,112.3,113.3
  2012 Nov,97.2,112,112.9
  2012 Oct,97.1,111.7,112.5
  2012 Sep,97.3,111.7,112.1
